year,month,day,name,title,query,share_text,url,alternate_url,high_res_url,high_res_width,high_res_height
2018,3,8,international-womens-day-2018,International Women's Day 2018,International Women's Day,Happy International Women's Day 2018! Explore stories from women all over the globe in today's #GoogleDoodle and share yours using #HerStoryOurStory!,//www.google.com/logos/doodles/2018/international-womens-day-2018-4678767631925248.3-l.png,https://lh3.googleusercontent.com/SGztHuOL3vWhhGPLU-vNyYmFqzVijrW-TPAN19ZAPPfh4CGT-9Z3t-kSzD4h42EIbL72Y5anjtZ7-M4z4cThT3obSeyC4FcM6_5YWIKs,//www.google.com/logos/doodles/2018/international-womens-day-2018-4678767631925248.2-2xa.gif,1046.0,460.0
2018,3,9,paralympics-2018,Paralympics 2018,Paralympics 2018,Let the games begin! #GoogleDoodle,//www.google.com/logos/doodles/2018/paralympics-2018-4676703698812928.2-law.gif,https://lh3.googleusercontent.com/ZJxtJQorwLfOOATjvqwtSdMPgvUiKFNLLhKqTpBAkW5LHwiV2ftP3UNekon3nIzJ6UCmZl9mH-3PypGF6UaBiF1LaZdCG634l2UHNWM,//www.google.com/logos/doodles/2018/paralympics-2018-4676703698812928-2xa.gif,800.0,320.0
2018,3,10,celebrating-the-alishan-forest-railway,Celebrating the Alishan Forest Railway,Alishan Forest Railway,Celebrating the Alishan Forest Railway! #GoogleDoodle,//www.google.com/logos/doodles/2018/celebrating-the-alishan-forest-railway-4548464162635776.2-l.png,https://lh3.googleusercontent.com/87WJrsU6BYOmVPsfpl3-HSxJJXZ29OcDh6_43NVFGAuwTkF_fVq_NxBt2dgcQcyc4pkgVbhkidN870dt9fhcaWX8Pm30VeKZV4N7kNSL,//www.google.com/logos/doodles/2018/celebrating-the-alishan-forest-railway-4548464162635776-2x.png,700.0,400.0
2018,3,11,mothers-day-2018-uk-ireland,Mother's Day 2018 (UK & Ireland),Mother's Day,Happy Mother's Day 2018! #GoogleDoodle,//www.google.com/logos/doodles/2018/mothers-day-2018-uk-ireland-6086337064075264-l.png,https://lh3.googleusercontent.com/xx2wuO1x2E-cermFlh_fjb0cRAK51lh0VjmdyGDCK3FYSc_-cUB-jTNKmpxMcfRGAI_kgdobuUz3fqRnAT_UEXItReIhRmj7bcQ9lAOF,//www.google.com/logos/doodles/2018/mothers-day-2018-uk-ireland-6086337064075264-2x.jpg,1000.0,400.0
2018,3,12,mauritius-independence-day-2018,Mauritius Independence Day 2018,mauritius independence day,"Happy Independence Day 2018, Mauritius! #GoogleDoodle",//www.google.com/logos/doodles/2018/mauritius-national-day-2018-6299327847727104.6-law.gif,https://lh3.googleusercontent.com/skFYHwV6hPOBkkqAG1WwvohZBAttBB6lm3bUxXGM7rJn9G-DYWf4F-gzLgAHpJpaQqLUbHqkRNCVnvvkETXTfX7tIs3dyQJUAAkdmjwA,//www.google.com/logos/doodles/2018/mauritius-national-day-2018-6299327847727104-2xa.gif,1150.0,460.0
2018,3,12,sir-william-henry-perkins-180th-birthday,Sir William Henry Perkin’s 180th Birthday,Sir William Henry Perkin,Sir William Henry Perkin’s 180th birthday #GoogleDoodle,//www.google.com/logos/doodles/2018/sir-william-henry-perkins-180th-birthday-5924016089989120-l.png,https://lh3.googleusercontent.com/VCXK7MaeC6kygKg4l9ijEoCrOPwSYKZHOP1YR7jPVFvmGDRKpoGOkNRVK7zBHs5MiKYDNtVJvIaMId_xpmumvLapRiyLIjoSAqXBoUo,//www.google.com/logos/doodles/2018/sir-william-henry-perkins-180th-birthday-5924016089989120-2x.png,1000.0,400.0
2018,3,14,30th-anniversary-of-pi-day,30th Anniversary of Pi Day!,Pi Day,30th Anniversary of Pi Day! #GoogleDoodle,//www.google.com/logos/doodles/2018/30th-anniversary-of-pi-day-6741047248945152.4-l.png,https://lh3.googleusercontent.com/qT3anz5ifMS9tnTKH6fDMGmIb4hd3OmnxkY5hE9Byz2HqoV_2Lamko1Amshp5grzhdRtMjcucYtigr4XYFysKHDDvoXYxEBISuSCE5LT,//www.google.com/logos/doodles/2018/30th-anniversary-of-pi-day-6741047248945152-2x.jpg,1400.0,460.0
2018,3,16,celebrating-george-peabody,Celebrating George Peabody,George Peabody philanthropist,Celebrating George Peabody! #GoogleDoodle,//www.google.com/logos/doodles/2018/celebrating-george-peabody-4943849993535488-l.png,https://lh3.googleusercontent.com/-Xs9URb6Dvv8jWmf6NtfrWNKVJcOaysVgaqv_w8NOv75ro40-LRefkjMuejE7fPTHmKF6LcEvP561FnlxoJPhzU9RtaNbej7aTa8I7E,//www.google.com/logos/doodles/2018/celebrating-george-peabody-4943849993535488-2x.jpg,1150.0,460.0
2018,3,16,dr-esther-parks-142nd-birthday,Dr. Esther Park’s 142nd Birthday,Dr. Esther Park’s 142nd Birthday,Dr. Esther Park’s 142nd birthday #GoogleDoodle,//www.google.com/logos/doodles/2018/dr-esther-parks-142nd-birthday-5851355645214720.2-l.png,https://lh3.googleusercontent.com/4n9tTWy7Wm4lctd30O9ZixQuMQayi_YWDbXBC7MUJlvm6ZWwG28wIsn70QQMfie6W7eHI35nwgpJVrDJgeZZE_gm9Qklb1U9q3jROPsB,//www.google.com/logos/doodles/2018/dr-esther-parks-142nd-birthday-5851355645214720-2x.png,1000.0,400.0
2018,3,17,st-patricks-day-2018,St. Patrick's Day 2018,St. Patrick's Day,Happy St. Patrick's Day 2018! #GoogleDoodle,//www.google.com/logos/doodles/2018/st-patricks-day-2018-4867156104708096-l.png,https://lh3.googleusercontent.com/iGBSGNOx--sRhZ3ezQIpfqJ54bNHnNhmZEgDysXdl1XWSOtL0qTfgLJ27iHjVy5enpKQTJkYWbt8XsUjVxnwHwNHLKJwueLYAa3zD3cG,//www.google.com/logos/doodles/2018/st-patricks-day-2018-4867156104708096-2x.jpg,1150.0,460.0
